Code du département,Libellé du département,Code du canton,Libellé du canton,Inscrits,Abstentions,% Abs/Ins,Votants,% Vot/Ins,Blancs,% Blancs/Ins,% Blancs/Vot,Nuls,% Nuls/Ins,% Nuls/Vot,Exprimés,% Exp/Ins,% Exp/Vot,N°Panneau,Sexe,Nom,Prénom,Voix,% Voix/Ins,% Voix/Exp,N°Panneau,Sexe,Nom,Prénom,Voix,% Voix/Ins,% Voix/Exp
83,Var,013,Saint-Maximin-la-Sainte-Baume,39573,9176,23.19,30397,76.81,2575,6.51,8.47,892,2.25,2.93,26930,68.05,88.59,1,M,MACRON,Emmanuel,12827,32.41,47.63,2,F,LE PEN,Marine,14103,35.64,52.37
83,Var,014,Saint-Raphaël,41125,10033,24.4,31092,75.6,2726,6.63,8.77,828,2.01,2.66,27538,66.96,88.57,1,M,MACRON,Emmanuel,14883,36.19,54.05,2,F,LE PEN,Marine,12655,30.77,45.95
83,Var,015,Sainte-Maxime,43088,11132,25.84,31956,74.16,2912,6.76,9.11,876,2.03,2.74,28168,65.37,88.15,1,M,MACRON,Emmanuel,14331,33.26,50.88,2,F,LE PEN,Marine,13837,32.11,49.12
83,Var,016,La Seyne-sur-Mer-1,36584,10599,28.97,25985,71.03,2292,6.27,8.82,562,1.54,2.16,23131,63.23,89.02,1,M,MACRON,Emmanuel,12291,33.6,53.14,2,F,LE PEN,Marine,10840,29.63,46.86
83,Var,017,La Seyne-sur-Mer-2,42837,10939,25.54,31898,74.46,3039,7.09,9.53,748,1.75,2.34,28111,65.62,88.13,1,M,MACRON,Emmanuel,14461,33.76,51.44,2,F,LE PEN,Marine,13650,31.86,48.56
83,Var,018,Solliès-Pont,32327,7829,24.22,24498,75.78,2201,6.81,8.98,658,2.04,2.69,21639,66.94,88.33,1,M,MACRON,Emmanuel,10566,32.68,48.83,2,F,LE PEN,Marine,11073,34.25,51.17
83,Var,019,Toulon-1,26970,9228,34.22,17742,65.78,1453,5.39,8.19,402,1.49,2.27,15887,58.91,89.54,1,M,MACRON,Emmanuel,8730,32.37,54.95,2,F,LE PEN,Marine,7157,26.54,45.05
83,Var,020,Toulon-2,28209,8989,31.87,19220,68.13,1594,5.65,8.29,425,1.51,2.21,17201,60.98,89.5,1,M,MACRON,Emmanuel,9117,32.32,53,2,F,LE PEN,Marine,8084,28.66,47
83,Var,021,Toulon-3,38979,9487,24.34,29492,75.66,2755,7.07,9.34,620,1.59,2.1,26117,67,88.56,1,M,MACRON,Emmanuel,14013,35.95,53.65,2,F,LE PEN,Marine,12104,31.05,46.35
83,Var,022,Toulon-4,34690,10132,29.21,24558,70.79,2265,6.53,9.22,590,1.7,2.4,21703,62.56,88.37,1,M,MACRON,Emmanuel,12652,36.47,58.3,2,F,LE PEN,Marine,9051,26.09,41.7
83,Var,023,Vidauban,27991,6707,23.96,21284,76.04,1828,6.53,8.59,600,2.14,2.82,18856,67.36,88.59,1,M,MACRON,Emmanuel,8699,31.08,46.13,2,F,LE PEN,Marine,10157,36.29,53.87
84,Vaucluse,001,Apt,24445,5152,21.08,19293,78.92,1854,7.58,9.61,573,2.34,2.97,16866,69,87.42,1,M,MACRON,Emmanuel,10059,41.15,59.64,2,F,LE PEN,Marine,6807,27.85,40.36
84,Vaucluse,002,Avignon-1,16961,5562,32.79,11399,67.21,821,4.84,7.2,299,1.76,2.62,10279,60.6,90.17,1,M,MACRON,Emmanuel,7293,43,70.95,2,F,LE PEN,Marine,2986,17.61,29.05
84,Vaucluse,003,Avignon-2,21302,5877,27.59,15425,72.41,1346,6.32,8.73,439,2.06,2.85,13640,64.03,88.43,1,M,MACRON,Emmanuel,9496,44.58,69.62,2,F,LE PEN,Marine,4144,19.45,30.38
84,Vaucluse,004,Avignon-3,23541,6168,26.2,17373,73.8,1483,6.3,8.54,486,2.06,2.8,15404,65.43,88.67,1,M,MACRON,Emmanuel,8815,37.45,57.23,2,F,LE PEN,Marine,6589,27.99,42.77
84,Vaucluse,005,Bollène,23473,5321,22.67,18152,77.33,1422,6.06,7.83,492,2.1,2.71,16238,69.18,89.46,1,M,MACRON,Emmanuel,7411,31.57,45.64,2,F,LE PEN,Marine,8827,37.6,54.36
84,Vaucluse,006,Carpentras,24742,6037,24.4,18705,75.6,1494,6.04,7.99,507,2.05,2.71,16704,67.51,89.3,1,M,MACRON,Emmanuel,8670,35.04,51.9,2,F,LE PEN,Marine,8034,32.47,48.1
84,Vaucluse,007,Cavaillon,20942,5481,26.17,15461,73.83,1201,5.73,7.77,409,1.95,2.65,13851,66.14,89.59,1,M,MACRON,Emmanuel,6839,32.66,49.38,2,F,LE PEN,Marine,7012,33.48,50.62
84,Vaucluse,008,Cheval-Blanc,24957,4990,19.99,19967,80.01,1730,6.93,8.66,529,2.12,2.65,17708,70.95,88.69,1,M,MACRON,Emmanuel,9727,38.98,54.93,2,F,LE PEN,Marine,7981,31.98,45.07
84,Vaucluse,009,L'Isle-sur-la-Sorgue,25868,5908,22.84,19960,77.16,1717,6.64,8.6,556,2.15,2.79,17687,68.37,88.61,1,M,MACRON,Emmanuel,9718,37.57,54.94,2,F,LE PEN,Marine,7969,30.81,45.06
84,Vaucluse,010,Monteux,26534,5942,22.39,20592,77.61,1848,6.96,8.97,598,2.25,2.9,18146,68.39,88.12,1,M,MACRON,Emmanuel,8293,31.25,45.7,2,F,LE PEN,Marine,9853,37.13,54.3
